"age_band","gender","exp_h_family_lifestg_2011_desc","exp_h_mosaic_uk_group_desc","exp_h_child_in_hhld_2011_desc","exp_h_property_type_v2_desc","exp_h_outstand_mortgag_v2_desc","exp_p_true_touch_group_desc","exp_h_reg_n_property_bnd_desc","classification","platform_desc","platform_desc_alt","tod_desc","content_desc","tenure_decile"
"35_54","f","02 - Young family with children <18","G - Careers and Kids","1 - 1 child","0 - Purpose built flats","5 - ?250000+","2 - Cyber Tourists","07 - ?200001 to ?250000","techy","IOS","MOBILE","WEEKENDS","MIXED_VIEWING","(210,324]"
"35_54","f","","","","","","","","non-techy","C4COM","PC","WKDAY_EVE","MAINSTREAM_TV","(324,443]"
"16_24","m","","","","","","","","non-techy","C4COM","PC","MIXED_TIMES","TEEN_COMDRAM_MINOR","(592,698]"
"35_54","f","","","","","","","","non-techy","C4COM","PC","MIXED_TIMES","GLAM_REALITY","(79,119]"
"25_34","f","","","","","","","","non-techy","IOS","MOBILE","MIXED_TIMES","GLAM_REALITY","(443,592]"
"55plus","m","","","","","","","","non-techy","C4COM","PC","WKDAY_EVE","MIXED_VIEWING","(119,210]"
"35_54","m","04 - Mature singles/homesharers","B - Professional Rewards","0 - No children","4 - Other type","2 - ?50000 - ?99999","1 - Experienced Netizens","07 - ?200001 to ?250000","non-techy","C4COM","PC","MIXED_TIMES","MIXED_VIEWING","(592,698]"
"25_34","m","","","","","","","","non-techy","C4COM","PC","WKDAY_DAY","UK_DARK_COM","(119,210]"
"16_24","f","09 - Older family no children <18","D - Small Town Diversity","0 - No children","4 - Other type","0 - No Mortgage","3 - Digital Culture","06 - ?150001 to ?200000","non-techy","ANDROID","MOBILE","MIXED_TIMES","HOLLYOAKS_USCOM","(44,79]"
"16_24","m","","","","","","","","non-techy","C4COM","PC","WKDAY_EVE","DARK_DRAMA","(443,592]"
"35_54","m","09 - Older family no children <18","O - Liberal Opinions","0 - No children","0 - Purpose built flats","2 - ?50000 - ?99999","1 - Experienced Netizens","06 - ?150001 to ?200000","techy","IOS","MOBILE","WEEKENDS","UK_DARK_COM","(44,79]"
"35_54","f","02 - Young family with children <18","I - Ex-Council Community","1 - 1 child","0 - Purpose built flats","0 - No Mortgage","4 - Modern Media Margins","06 - ?150001 to ?200000","non-techy","IOS","MOBILE","MIXED_TIMES","SEX","(119,210]"
"35_54","f","","","","","","","","non-techy","C4COM","PC","WKDAY_EVE","HOMES","(818,1.32e+03]"
"25_34","m","10 - Older family/household with children<18","O - Liberal Opinions","1 - 1 child","1 - Converted flats","0 - No Mortgage","1 - Experienced Netizens","04 - ?100001 to ?125000","non-techy","C4COM","PC","WEEKENDS","MIXED_VIEWING","(324,443]"
"16_24","m","10 - Older family/household with children<18","I - Ex-Council Community","2 - 2 children","4 - Other type","1 - Under ?50000","4 - Modern Media Margins","04 - ?100001 to ?125000","non-techy","C4COM","PC","MIXED_TIMES","DARK_DRAMA","(44,79]"
"25_34","m","05 - Mature family no children <18","G - Careers and Kids","0 - No children","4 - Other type","0 - No Mortgage","1 - Experienced Netizens","08 - ?250001 to ?300000","non-techy","C4COM","PC","MIXED_TIMES","HOLLYOAKS_USCOM","(44,79]"
"25_34","m","","","","","","","","non-techy","C4COM","PC","WKDAY_EVE","TEEN_COMDRAM_MINOR","(592,698]"
"35_54","m","04 - Mature singles/homesharers","O - Liberal Opinions","0 - No children","0 - Purpose built flats","2 - ?50000 - ?99999","2 - Cyber Tourists","08 - ?250001 to ?300000","techy","IOS","MOBILE","MIXED_TIMES","UK_DARK_COM","(210,324]"
"16_24","f","","","","","","","","non-techy","C4COM","PC","MIXED_TIMES","MIXED_VIEWING","(698,818]"
"25_34","m","","","","","","","","non-techy","ANDROID","MOBILE","MIXED_TIMES","MIXED_VIEWING","(698,818]"
"16_24","f","09 - Older family no children <18","O - Liberal Opinions","0 - No children","0 - Purpose built flats","0 - No Mortgage","3 - Digital Culture","03 - ?80001 to ?100000","techy","IOS","MOBILE","WKDAY_EVE","TEEN_COMDRAM_MINOR","(210,324]"
"16_24","f","","","","","","","","non-techy","C4COM","PC","MIXED_TIMES","MIXED_VIEWING","(324,443]"
"16_24","m","10 - Older family/household with children<18","B - Professional Rewards","1 - 1 child","4 - Other type","1 - Under ?50000","3 - Digital Culture","07 - ?200001 to ?250000","non-techy","C4COM","PC","MIXED_TIMES","MIXED_VIEWING","(79,119]"
"16_24","m","10 - Older family/household with children<18","F - Suburban Mindsets","1 - 1 child","4 - Other type","1 - Under ?50000","3 - Digital Culture","09 - ?300001 to ?400000","non-techy","IOS","MOBILE","WKDAY_DAY","GLAM_REALITY","(818,1.32e+03]"
"25_34","m","","","","","","","","non-techy","IOS","MOBILE","MIXED_TIMES","MIXED_VIEWING","(79,119]"
"55plus","f","10 - Older family/household with children<18","D - Small Town Diversity","2 - 2 children","4 - Other type","0 - No Mortgage","6 - New Tech Novices","06 - ?150001 to ?200000","non-techy","C4COM","PC","WKDAY_EVE","MIXED_VIEWING","(698,818]"
"25_34","f","","","","","","","","non-techy","C4COM","PC","WKDAY_EVE","MIXED_VIEWING","(210,324]"
"35_54","f","10 - Older family/household with children<18","B - Professional Rewards","2 - 2 children","4 - Other type","1 - Under ?50000","2 - Cyber Tourists","09 - ?300001 to ?400000","non-techy","IOS","MOBILE","WKDAY_DAY","HOLLYOAKS_USCOM","(698,818]"
"16_24","f","","","","","","","","non-techy","C4COM","PC","WKDAY_EVE","TEEN_COMDRAM_MINOR","(592,698]"
"16_24","f","08 - Older single","O - Liberal Opinions","0 - No children","4 - Other type","0 - No Mortgage","3 - Digital Culture","06 - ?150001 to ?200000","non-techy","ANDROID","MOBILE","WKDAY_EVE","GLAM_REALITY","(44,79]"
"16_24","f","","","","","","","","non-techy","C4COM","PC","MIXED_TIMES","MIXED_VIEWING","(44,79]"
