Player,Team,Points,Cost,Position
Courtois,Chelsea,21,6.0,G,5
Hart,Man City,15,6.0,G,5
Cech,Chelsea,0,5.6,G,5
Lloris,Spurs,22,5.6,G,5
Szczesny,Arsenal,16,5.5,G,5
Mignolet,Liverpool,17,5.5,G,5
Howard,Everton,12,5.4,G,5
Caballero,Man City,2,5.4,G,5
De Gea,Man Utd,19,5.4,G,5
Forster,Southampton,25,5.1,G,5
Speroni,Crystal Palace,27,5.0,G,5
McGregor,Hull,21,5.0,G,5
Jones,Liverpool,0,5.0,G,5
Begovic,Stoke,21,5.0,G,5
Fabianski,Swansea,26,5.0,G,5
Adri?n,West Ham,12,5.0,G,5
Ospina,Arsenal,0,4.9,G,5
Robles,Everton,0,4.9,G,5
Lindegaard,Man Utd,0,4.9,G,5
Friedel,Spurs,0,4.9,G,5
Vorm,Spurs,0,4.9,G,5
Boruc,Southampton,0,4.8,G,5
Guzan,Aston Villa,24,4.6,G,5
Heaton,Burnley,25,4.6,G,5
Martinez,Arsenal,0,4.5,G,5
Hennessey,Crystal Palace,0,4.5,G,5
Harper,Hull,0,4.5,G,5
Schmeichel,Leicester,10,4.5,G,5
Amos,Man Utd,0,4.5,G,5
Krul,Newcastle,14,4.5,G,5
Green,QPR,17,4.5,G,5
Davis K,Southampton,0,4.5,G,5
Gazzaniga,Southampton,0,4.5,G,5
S?rensen,Stoke,0,4.5,G,5
Mannone,Sunderland,25,4.5,G,5
Foster,West Brom,21,4.5,G,5
Pantilimon,Sunderland,0,4.4,G,5
Tremmel,Swansea,0,4.4,G,5
J??skel?inen,West Ham,0,4.4,G,5
Given,Aston Villa,0,4.0,G,5
Gilks,Burnley,0,4.0,G,5
Smith,Leicester,0,4.0,G,5
Hamer,Leicester,8,4.0,G,5
Elliot,Newcastle,0,4.0,G,5
Murphy,QPR,0,4.0,G,5
McCarthy,QPR,0,4.0,G,5
Luke Daniels,West Brom,0,4.0,G,5
Myhill,West Brom,0,4.0,G,5
Ivanovic,Chelsea,37,7.3,D,5
Baines,Everton,27,7.0,D,5
Coleman,Everton,14,7.0,D,5
Zabaleta,Man City,7,6.5,D,5
Kompany,Man City,13,6.5,D,5
Cahill,Chelsea,17,6.4,D,5
Terry,Chelsea,16,6.4,D,5
Koscielny,Arsenal,20,6.1,D,5
Mertesacker,Arsenal,11,6.0,D,5
Azpilicueta,Chelsea,25,6.0,D,5
Mangala,Man City,0,6.0,D,5
Demichelis,Man City,17,6.0,D,5
Rojo,Man Utd,8,6.0,D,5
Vertonghen,Spurs,9,6.0,D,5
Skrtel,Liverpool,8,5.9,D,5
Kolarov,Man City,13,5.9,D,5
Shaw,Man Utd,2,5.8,D,5
Walker,Spurs,0,5.8,D,5
Moreno,Liverpool,17,5.6,D,5
Shawcross,Stoke,29,5.6,D,5
Filipe Luis,Chelsea,1,5.5,D,5
Clichy,Man City,12,5.5,D,5
Fonte,Southampton,27,5.5,D,5
Dier,Spurs,33,5.5,D,5
Jagielka,Everton,20,5.4,D,5
Distin,Everton,5,5.4,D,5
Stones,Everton,12,5.4,D,5
Lovren,Liverpool,14,5.4,D,5
