gameweek	firstgame
1	16/08/2014
2	23/08/2014
3	30/08/2014
4	13/09/2014
5	20/09/2014
6	27/09/2014
7	04/10/2014
8	18/10/2014
9	25/10/2014
10	01/11/2014
11	08/11/2014
12	22/11/2014
13	29/11/2014
14	02/12/2014
15	06/12/2014
16	13/12/2014
17	20/12/2014
18	26/12/2014
19	28/12/2014
20	01/01/2015
21	10/01/2015
22	17/01/2015
23	31/01/2015
24	07/02/2015
25	10/02/2015
26	21/02/2015
27	28/02/2015
28	03/03/2015
29	14/03/2015
30	21/03/2015
31	04/04/2015
32	11/04/2015
33	18/04/2015
34	25/04/2015
35	02/05/2015
36	09/05/2015
37	16/05/2015
38	24/05/2015
F	01/06/2015
